C1	32.23	69.50	270.00	10µF	0805
C2	17.70	79.80	180.00	100nF	0805
C3	31.30	79.80	0.00	100nF	0805
C5	16.50	64.80	270.00	4,7uF	0805
L1	19.76	73.40	0.00	10uH	PIO73
Q1	28.11	69.59	0.00	Si2305DS	SOT23
R1	19.60	64.80	90.00	1K	0805
R2	27.00	74.40	270.00	16K	0805
R3	16.50	59.10	270.00	20K	0805
R4	22.40	64.80	90.00	10K	0805
U$1	31.73	60.91	90.00	DECADE-AT24C256-10TI-2.7	DECADE-AT24CXX
U1	31.67	75.04	0.00	TPS62200	SOT23-5
